,,,The Show,Show Champion,Mcountdown,Music Bank,Music Core,Inkigayo,Music on Top,,,,,,,,
Nell,,1,,,,,,1,,,,,,,,,
10cm,,1,,,,,,1,,,,,,,,,
Jung Key,,1,,,,,,1,,,,,,,,,
Paul Kim,,1,,,,,,1,,,,,,,,,
High4,,1,,,,,,1,,,,,,,,,
CIX,,1,1,,,,,,,,,,,,,,
Exo SC,,1,,,,1,,,,,,,,,,,
Everglow,,1,1,,,,,,,,,,,,,,
Jeong Sewoon,,1,1,,,,,,,,,,,,,,
Golden Child,,1,,,1,,,,,,,,,,,,
Noel,,1,,,,,,1,,,,,,,,,
Loona,,1,,,1,,,,,,,,,,,,
